ID,ID2,CCAA,multicultural,economy,homosexuals,antiterrorist,decentralization,vote,candidate_PSOE,candidate_PP,candidate_IU,national_id,proud_Spain,weight
520,2750  520,7,5,2,0,8,1,1,4,6,5,3,1,0.827
521,2750  521,7,5,2,0,8,3,3,5,2,3,3,2,0.827
522,2750  522,7,5,5,5,2,2,96,4,7,98,3,2,0.827
523,2750  523,7,7,8,9,9,2,3,6,3,4,1,2,0.827
524,2750  524,7,3,4,0,0,2,2,5,6,3,3,1,0.827
525,2750  525,7,2,5,9,1,3,1,10,8,5,3,1,0.827
526,2750  526,7,3,4,3,0,2,1,8,6,4,1,1,0.827
527,2750  527,7,5,5,0,1,2,96,4,6,98,3,1,0.827
528,2750  528,7,3,3,3,5,2,1,4,8,2,3,2,0.827
529,2750  529,7,8,5,98,5,2,1,5,6,3,3,1,0.827
530,2750  530,7,7,8,10,9,3,2,0,10,98,3,1,0.827
531,2750  531,7,4,4,8,0,2,1,6,4,3,2,1,0.827
532,2750  532,7,9,98,10,98,8,2,0,5,97,2,1,0.827
577,2750  577,7,8,0,5,0,3,1,9,4,6,2,1,0.827
593,2750  593,7,5,5,5,3,2,0,6,5,97,3,2,0.827
594,2750  594,7,5,6,3,3,2,2,7,9,98,3,1,0.827
595,2750  595,7,3,5,5,8,2,1,8,6,5,3,2,0.827
596,2750  596,7,4,5,5,3,2,1,10,0,1,3,2,0.827
598,2750  598,7,5,5,7,4,2,1,9,4,98,3,2,0.827
599,2750  599,7,5,3,98,7,2,1,7,7,5,3,2,0.827
609,2750  609,7,0,0,5,10,4,3,5,1,5,7,1,0.827
610,2750  610,7,4,5,9,0,3,2,0,8,0,3,2,0.827
623,2750  623,7,2,2,3,9,2,0,4,2,2,2,2,0.827
624,2750  624,7,5,5,10,5,3,49,3,3,0,3,1,0.827
627,2750  627,7,5,0,5,0,2,0,5,5,5,3,1,0.827
628,2750  628,7,2,99,0,8,1,2,4,6,2,1,2,0.827
629,2750  629,7,0,0,0,10,4,0,6,3,1,7,3,0.827
641,2750  641,10,6,1,10,0,2,96,5,5,98,1,1,0.929
642,2750  642,10,3,5,3,5,3,2,5,5,5,2,1,0.929
643,2750  643,10,5,4,6,6,1,1,7,4,5,3,1,0.929
644,2750  644,10,7,98,0,10,8,1,7,8,98,3,1,0.929
646,2750  646,10,4,98,8,98,8,0,5,5,5,4,1,0.929
647,2750  647,10,7,2,2,1,2,1,6,0,0,2,1,0.929
648,2750  648,10,3,7,1,1,1,2,5,6,7,2,9,0.929
649,2750  649,10,5,3,98,5,2,1,7,6,1,3,1,0.929
651,2750  651,10,4,3,5,7,2,1,5,3,2,1,1,0.929
652,2750  652,10,2,3,6,5,1,1,7,0,0,1,1,0.929
653,2750  653,10,3,3,9,1,3,2,5,5,4,3,1,0.929
654,2750  654,10,3,3,2,1,2,2,1,9,6,1,2,0.929
655,2750  655,10,6,2,2,2,2,2,0,1,0,2,1,0.929
656,2750  656,10,3,7,9,1,2,0,1,8,0,2,1,0.929
658,2750  658,10,7,5,6,5,1,2,2,8,2,1,2,0.929
659,2750  659,10,8,6,5,2,2,2,3,7,2,1,2,0.929
660,2750  660,10,9,5,9,6,2,2,4,8,4,1,2,0.929
662,2750  662,10,6,5,6,7,1,2,7,8,2,2,1,0.929
663,2750  663,10,7,5,9,3,1,2,6,8,2,1,1,0.929
665,2750  665,10,9,5,3,2,2,2,5,8,4,1,2,0.929
666,2750  666,10,5,5,2,0,2,1,10,0,98,3,2,0.929
667,2750  667,10,5,2,5,4,2,1,5,0,0,4,3,0.929
668,2750  668,10,5,5,6,4,2,99,5,5,5,3,3,0.929
670,2750  670,10,6,6,7,5,2,1,10,0,98,3,2,0.929
672,2750  672,10,6,7,5,2,2,1,98,98,98,3,2,0.929
673,2750  673,10,6,1,7,0,2,2,5,8,3,3,2,0.929
674,2750  674,10,5,7,3,3,2,1,6,0,98,2,2,0.929
675,2750  675,10,5,5,4,0,2,49,8,5,0,3,2,0.929
676,2750  676,10,8,5,98,5,8,1,10,0,98,3,1,0.929
680,2750  680,10,5,5,9,7,2,1,7,6,4,3,2,0.929
681,2750  681,10,6,2,3,7,3,2,6,8,5,2,1,0.929
682,2750  682,10,98,98,10,98,8,0,4,5,98,1,1,0.929
683,2750  683,10,98,2,2,98,2,1,6,98,98,3,2,0.929
684,2750  684,10,98,4,98,1,2,1,5,5,5,3,1,0.929
685,2750  685,10,3,2,10,1,1,2,3,5,1,3,1,0.929
686,2750  686,10,6,6,6,10,2,1,8,3,5,2,2,0.929
687,2750  687,10,3,2,3,7,2,1,8,5,5,1,1,0.929
688,2750  688,10,5,6,1,5,2,0,6,6,6,2,1,0.929
689,2750  689,10,4,3,9,5,3,2,3,5,98,1,1,0.929
690,2750  690,10,9,4,10,9,3,2,5,7,4,2,1,0.929
691,2750  691,10,7,3,6,1,2,2,5,8,0,3,1,0.929
693,2750  693,10,5,5,0,8,1,1,6,0,0,2,1,0.929
694,2750  694,10,3,4,10,0,1,2,4,8,98,1,1,0.929
730,2750  730,10,5,98,0,1,1,1,10,3,1,2,1,0.929
731,2750  731,10,8,98,10,8,2,1,9,7,2,1,1,0.929
732,2750  732,10,4,5,5,0,2,1,8,0,1,1,1,0.929
733,2750  733,10,5,6,5,3,2,0,7,7,98,3,2,0.929
735,2750  735,10,3,1,3,9,2,1,6,3,3,1,1,0.929
736,2750  736,10,5,5,8,1,2,2,5,6,98,3,1,0.929
737,2750  737,10,5,3,9,5,2,99,10,0,0,3,1,0.929
738,2750  738,10,6,5,8,98,2,1,8,6,1,1,1,0.929
739,2750  739,10,1,2,10,10,1,2,7,8,5,1,1,0.929
740,2750  740,10,7,3,9,4,2,2,98,98,98,1,1,0.929
741,2750  741,10,2,5,4,10,1,1,98,98,98,1,2,0.929
742,2750  742,10,5,5,10,0,2,2,4,7,0,1,1,0.929
743,2750  743,10,0,0,0,10,3,1,6,1,3,3,2,0.929
744,2750  744,10,4,5,10,0,1,96,7,5,0,1,2,0.929
745,2750  745,10,0,0,1,0,2,99,5,5,4,3,3,0.929
746,2750  746,10,1,0,1,10,2,1,8,4,7,1,1,0.929
748,2750  748,10,3,3,9,5,2,1,5,0,0,7,1,0.929
749,2750  749,10,5,2,0,5,3,2,5,0,0,1,1,0.929
750,2750  750,10,4,3,1,5,8,2,5,6,97,7,4,0.929
751,2750  751,10,5,5,6,5,2,0,6,3,0,1,1,0.929
752,2750  752,10,7,3,1,9,2,1,7,3,4,7,1,0.929
756,2750  756,10,6,5,5,2,2,1,5,1,1,3,1,0.929
758,2750  758,10,7,5,5,2,1,0,2,5,2,1,1,0.929
759,2750  759,10,7,5,2,6,8,1,6,4,98,2,1,0.929
760,2750  760,10,98,98,9,7,1,2,0,10,98,1,1,0.929
761,2750  761,10,5,98,98,1,2,99,5,5,2,3,1,0.929
774,2750  774,10,6,98,2,0,8,1,8,0,98,1,1,0.929
775,2750  775,10,6,6,3,2,2,1,6,4,3,2,1,0.929
776,2750  776,10,2,7,1,1,2,1,8,6,98,1,1,0.929
777,2750  777,10,5,5,4,2,1,2,4,5,4,1,1,0.929
778,2750  778,10,1,3,1,8,2,1,7,7,5,2,1,0.929
780,2750  780,10,3,1,2,5,2,0,7,6,6,3,1,0.929
781,2750  781,10,3,6,4,7,2,1,8,1,1,1,1,0.929
786,2750  786,10,3,4,4,3,3,2,5,8,3,3,1,0.929
788,2750  788,10,4,6,5,3,2,1,4,3,2,3,2,0.929
792,2750  792,10,6,6,9,2,2,2,2,6,0,1,1,0.929
793,2750  793,10,1,2,2,1,2,96,5,5,5,1,1,0.929
794,2750  794,10,8,3,1,1,3,2,0,6,5,3,2,0.929
795,2750  795,10,6,3,8,1,2,2,3,8,3,3,1,0.929
796,2750  796,10,4,4,8,5,8,99,98,98,98,3,1,0.929
797,2750  797,10,6,2,9,8,2,1,5,5,7,1,1,0.929
806,2750  806,10,98,98,10,5,2,1,8,5,5,3,1,0.929
807,2750  807,10,98,98,9,5,8,1,10,98,98,3,1,0.929
808,2750  808,10,6,3,10,1,2,2,5,8,0,2,1,0.929
809,2750  809,10,5,5,5,0,1,99,5,0,0,1,1,0.929
811,2750  811,10,5,2,9,1,2,2,8,7,0,3,1,0.929
812,2750  812,10,6,3,1,8,3,1,8,5,5,3,1,0.929
813,2750  813,10,7,2,2,5,2,1,6,4,3,3,1,0.929
832,2750  832,10,6,5,5,5,2,0,98,98,98,3,2,0.929
834,2750  834,10,5,2,3,3,2,2,3,8,1,3,3,0.929
835,2750  835,10,5,5,5,5,2,99,98,98,98,3,2,0.929
836,2750  836,10,6,6,5,5,2,2,4,8,0,3,2,0.929
837,2750  837,10,5,3,7,3,2,1,6,3,2,3,2,0.929
838,2750  838,10,7,1,7,0,2,2,5,8,2,3,2,0.929
839,2750  839,10,6,5,5,0,2,2,0,8,98,3,2,0.929
840,2750  840,10,6,5,5,5,2,1,5,5,0,3,3,0.929
850,2750  850,10,6,6,5,8,3,1,9,6,9,1,1,0.929
851,2750  851,10,3,5,9,10,2,1,7,3,4,1,1,0.929
852,2750  852,10,7,7,10,0,2,2,5,4,2,1,1,0.929
853,2750  853,10,6,5,9,8,1,1,10,2,5,1,1,0.929
854,2750  854,10,8,5,8,7,1,0,5,5,5,1,1,0.929
856,2750  856,10,8,3,9,2,2,1,10,3,8,1,1,0.929
857,2750  857,10,8,2,2,0,1,2,8,9,98,1,1,0.929
858,2750  858,10,5,5,4,0,1,2,7,7,7,1,2,0.929
859,2750  859,10,10,10,0,0,2,2,6,6,2,1,1,0.929
860,2750  860,10,8,1,9,4,2,1,8,7,10,1,2,0.929
861,2750  861,10,9,2,1,8,2,1,6,4,3,1,1,0.929
863,2750  863,10,5,5,10,10,8,0,99,99,99,1,3,0.929
864,2750  864,10,6,0,10,4,1,99,6,4,2,3,1,0.929
865,2750  865,10,0,0,0,8,4,3,3,1,4,7,4,0.929
866,2750  866,10,4,5,7,3,2,0,7,6,6,2,1,0.929
867,2750  867,10,5,7,1,6,2,1,10,0,0,1,1,0.929
868,2750  868,10,2,2,0,0,1,1,8,2,10,1,1,0.929
877,2750  877,10,6,4,8,6,2,1,9,0,98,2,1,0.929
878,2750  878,10,7,6,10,0,2,2,5,6,1,1,1,0.929
879,2750  879,10,98,98,10,3,1,1,10,0,98,1,1,0.929
880,2750  880,10,6,5,4,7,2,1,10,5,3,1,1,0.929
881,2750  881,10,2,3,10,5,2,3,5,4,3,3,1,0.929
882,2750  882,10,5,5,8,7,3,1,6,5,1,3,1,0.929
883,2750  883,10,6,3,7,7,3,1,7,5,2,3,1,0.929
884,2750  884,10,5,5,8,3,3,1,6,5,5,2,1,0.929
885,2750  885,10,6,4,8,2,3,96,7,6,5,3,1,0.929
886,2750  886,10,3,2,5,4,2,2,98,98,98,3,3,0.929
887,2750  887,10,4,6,5,2,2,1,7,3,2,3,2,0.929
889,2750  889,10,7,6,5,5,2,2,5,9,3,3,3,0.929
890,2750  890,10,7,6,6,6,2,2,2,8,3,3,3,0.929
891,2750  891,10,6,5,5,3,2,2,5,6,3,2,2,0.929
892,2750  892,10,5,5,9,5,2,98,8,8,5,3,3,0.929
897,2750  897,10,8,5,7,5,3,2,8,7,6,1,2,0.929
898,2750  898,10,5,3,2,1,2,99,8,8,9,1,1,0.929
899,2750  899,10,98,3,98,3,3,1,5,5,98,2,1,0.929
900,2750  900,10,98,5,98,5,2,1,5,5,97,2,1,0.929
905,2750  905,10,6,3,3,98,2,2,5,5,5,3,1,0.929
907,2750  907,10,5,4,1,2,2,1,6,3,98,4,2,0.929
908,2750  908,10,98,4,8,98,1,99,5,5,98,3,1,0.929
909,2750  909,10,6,4,5,7,2,1,6,4,3,5,2,0.929
911,2750  911,10,5,3,1,98,2,0,5,5,5,3,1,0.929
913,2750  913,10,5,6,1,5,3,1,7,6,3,3,1,0.929
914,2750  914,10,5,6,10,1,1,1,98,98,98,3,1,0.929
915,2750  915,10,5,3,5,5,2,3,5,0,7,3,1,0.929
916,2750  916,10,4,3,3,1,2,2,6,8,5,4,1,0.929
917,2750  917,10,4,98,8,5,1,99,8,6,5,3,1,0.929
918,2750  918,10,4,98,8,8,1,1,8,6,98,3,1,0.929
919,2750  919,10,5,4,7,98,2,1,8,5,7,1,1,0.929
920,2750  920,10,6,3,10,2,2,2,6,7,0,1,1,0.929
934,2750  934,10,2,3,1,0,2,1,6,0,2,1,1,0.929
936,2750  936,10,5,98,98,98,1,1,10,0,98,1,1,0.929
937,2750  937,10,4,5,8,2,2,2,4,6,3,2,1,0.929
939,2750  939,10,3,5,5,9,1,3,5,5,3,1,1,0.929
945,2750  945,10,7,5,6,1,2,1,8,0,97,7,4,0.929
946,2750  946,10,6,2,10,10,2,1,8,6,4,4,3,0.929
947,2750  947,10,3,3,4,2,2,1,8,4,2,2,2,0.929
951,2750  951,10,7,9,5,5,2,0,4,4,3,1,2,0.929
952,2750  952,10,6,5,10,0,2,1,10,0,0,1,2,0.929
953,2750  953,10,8,5,4,7,2,2,6,9,4,1,1,0.929
955,2750  955,10,3,2,5,2,2,1,6,5,98,3,2,0.929
956,2750  956,10,98,98,5,5,2,99,5,5,98,2,2,0.929
957,2750  957,10,7,2,7,0,2,2,6,8,5,1,2,0.929
958,2750  958,10,6,3,6,2,2,2,4,7,4,3,2,0.929
959,2750  959,10,6,2,7,0,2,2,3,9,98,3,2,0.929
960,2750  960,10,6,2,7,2,2,2,5,7,3,3,2,0.929
961,2750  961,10,10,0,10,10,1,1,10,4,6,3,3,0.929
962,2750  962,10,8,2,7,8,2,1,10,0,7,3,2,0.929
963,2750  963,10,2,3,1,2,2,99,6,3,1,3,3,0.929
964,2750  964,10,3,1,0,0,1,99,0,0,0,7,4,0.929
965,2750  965,10,0,5,0,3,3,1,7,2,2,3,2,0.929
966,2750  966,10,0,0,2,5,1,0,6,4,98,7,8,0.929
968,2750  968,10,0,3,1,7,2,1,8,0,5,3,2,0.929
969,2750  969,10,4,5,3,2,2,1,8,6,3,1,3,0.929
970,2750  970,10,8,2,10,0,2,2,3,7,2,1,2,0.929
971,2750  971,10,7,7,3,3,2,2,6,5,3,1,2,0.929
972,2750  972,10,8,2,2,3,2,2,5,8,4,1,2,0.929
973,2750  973,10,5,0,5,5,4,1,8,4,5,3,3,0.929
974,2750  974,10,7,3,8,0,2,2,3,8,3,3,1,0.929
976,2750  976,10,2,3,3,5,2,99,10,10,5,3,3,0.929
977,2750  977,10,8,1,10,0,2,2,0,8,0,2,1,0.929
979,2750  979,10,0,9,0,4,2,3,7,4,6,4,3,0.929
981,2750  981,10,0,2,5,9,2,1,8,3,5,3,3,0.929
982,2750  982,10,8,9,0,1,3,1,6,2,5,3,3,0.929
984,2750  984,10,6,7,3,0,1,99,7,6,5,2,4,0.929
1001,2750 1001,10,5,3,2,1,2,1,7,5,4,1,1,0.929
1004,2750 1004,10,6,3,98,1,2,2,7,7,5,1,1,0.929
1005,2750 1005,10,6,5,5,1,2,1,7,5,4,3,1,0.929
1007,2750 1007,10,6,6,98,3,2,1,7,3,98,3,1,0.929
1008,2750 1008,10,7,2,10,0,2,2,5,8,3,2,1,0.929
1009,2750 1009,10,1,1,10,6,2,99,8,5,4,7,8,0.929
1020,2750 1020,10,6,2,7,0,1,2,3,6,1,4,2,0.929
1022,2750 1022,10,2,4,10,1,2,1,9,5,0,1,1,0.929
1033,2750 1033,10,7,7,6,5,2,2,4,6,5,3,2,0.929
1035,2750 1035,10,5,6,4,2,2,2,4,8,2,3,2,0.929
1036,2750 1036,10,5,5,5,4,2,0,98,98,98,3,9,0.929
1037,2750 1037,10,6,6,5,2,2,1,10,0,98,3,3,0.929
1038,2750 1038,10,6,6,5,3,2,1,6,0,98,3,2,0.929
1039,2750 1039,10,7,6,6,5,1,0,98,98,98,3,2,0.929
1041,2750 1041,10,3,5,4,4,2,1,10,5,3,3,2,0.929
1042,2750 1042,10,6,6,7,0,2,2,5,8,2,3,2,0.929
1054,2750 1054,10,5,5,3,8,1,1,8,3,9,1,2,0.929
1055,2750 1055,10,3,5,8,2,2,1,8,6,5,1,2,0.929
1057,2750 1057,10,7,5,8,5,2,0,5,5,5,1,1,0.929
1058,2750 1058,10,3,5,5,8,2,1,7,4,3,1,1,0.929
1059,2750 1059,10,9,2,2,0,1,1,3,8,98,1,1,0.929
1060,2750 1060,10,6,5,10,9,2,2,5,6,4,1,1,0.929
1061,2750 1061,10,5,3,0,0,2,1,10,0,0,1,2,0.929
1069,2750 1069,10,4,6,1,3,1,2,7,6,3,1,1,0.929
1071,2750 1071,10,2,5,1,5,2,0,0,0,0,1,1,0.929
1073,2750 1073,10,7,1,2,0,2,2,3,5,0,2,1,0.929
1074,2750 1074,10,5,4,10,0,3,2,0,98,0,3,1,0.929
1081,2750 1081,10,2,4,1,3,2,1,6,5,98,3,1,0.929
1082,2750 1082,10,5,2,8,98,2,1,7,7,5,3,1,0.929
1084,2750 1084,10,6,4,8,6,1,2,5,7,98,3,1,0.929
1086,2750 1086,10,6,98,9,0,1,0,1,10,0,3,1,0.929
1087,2750 1087,10,2,1,0,10,2,1,8,3,4,7,1,0.929
1088,2750 1088,10,5,5,4,5,2,1,7,5,5,1,1,0.929
1089,2750 1089,10,5,2,1,0,2,2,5,5,0,2,1,0.929
1090,2750 1090,10,3,5,8,0,2,1,8,1,98,4,1,0.929
1091,2750 1091,10,5,5,9,98,2,0,5,5,5,2,1,0.929
1092,2750 1092,10,5,98,5,1,2,1,8,3,4,1,1,0.929
1093,2750 1093,10,7,3,9,1,2,2,2,6,2,1,1,0.929
1095,2750 1095,10,98,4,5,5,2,1,8,6,5,3,1,0.929
1096,2750 1096,10,5,1,0,0,2,2,3,6,0,1,1,0.929
1097,2750 1097,10,5,98,98,9,2,99,5,6,98,2,1,0.929
1098,2750 1098,10,7,5,98,4,8,2,2,10,5,3,1,0.929
1100,2750 1100,10,5,5,5,10,2,2,6,7,98,1,2,0.929
1106,2750 1106,10,2,2,5,5,2,0,5,0,97,3,2,0.929
1107,2750 1107,10,0,5,5,10,2,1,7,4,2,3,2,0.929
1139,2750 1139,1,98,6,3,8,2,1,10,6,7,4,2,0.865
1140,2750 1140,1,0,98,98,10,2,1,10,0,5,3,1,0.865
1141,2750 1141,1,5,3,3,5,2,99,98,98,98,3,2,0.865
1142,2750 1142,1,6,5,98,5,2,99,8,6,5,1,1,0.865
1143,2750 1143,1,1,1,0,5,2,1,8,2,1,1,1,0.865
1145,2750 1145,1,2,5,5,5,2,2,6,6,5,3,2,0.865
1146,2750 1146,1,8,3,5,5,1,2,0,5,0,3,1,0.865
1147,2750 1147,1,4,8,10,0,1,99,2,2,0,1,2,0.865
1149,2750 1149,1,0,5,0,5,2,1,8,98,98,3,1,0.865
1150,2750 1150,1,3,3,7,3,2,2,5,5,3,3,2,0.865
1151,2750 1151,1,5,5,5,5,2,0,98,98,98,3,2,0.865
1162,2750 1162,1,6,0,0,2,2,1,8,4,7,3,1,0.865
1163,2750 1163,1,5,98,10,98,8,99,98,98,98,4,2,0.865
1166,2750 1166,1,0,5,0,5,2,99,5,5,3,3,2,0.865
1167,2750 1167,1,7,7,6,5,2,99,9,9,8,3,2,0.865
1168,2750 1168,1,2,5,10,10,9,1,4,3,5,1,1,0.865
1169,2750 1169,1,6,3,8,3,2,2,6,6,1,2,1,0.865
1170,2750 1170,1,7,5,5,0,2,2,0,9,0,3,1,0.865
1173,2750 1173,1,6,3,5,4,2,2,5,6,4,3,2,0.865
1201,2750 1201,1,5,5,0,0,2,2,4,6,0,3,1,0.865
1203,2750 1203,1,4,4,5,0,2,2,5,5,1,2,1,0.865
1205,2750 1205,1,5,5,6,2,2,2,3,8,0,3,1,0.865
1207,2750 1207,1,5,5,5,0,1,0,5,4,1,3,2,0.865
1215,2750 1215,1,5,5,10,0,2,1,10,3,98,3,1,0.865
1216,2750 1216,1,10,99,10,99,1,2,0,0,0,1,4,0.865
1217,2750 1217,1,5,5,10,0,2,0,5,6,4,3,2,0.865
1219,2750 1219,1,5,2,0,0,2,99,6,5,3,1,2,0.865
1222,2750 1222,1,8,3,10,0,2,4,6,0,4,3,1,0.865
1223,2750 1223,1,5,3,2,7,2,2,8,6,4,3,2,0.865
1263,2750 1263,1,7,7,10,10,2,2,0,7,0,3,1,0.865
1264,2750 1264,1,8,2,10,0,4,2,0,6,0,4,2,0.865
1267,2750 1267,1,0,0,10,0,3,2,7,8,5,1,1,0.865
1268,2750 1268,1,7,3,10,5,2,2,0,10,2,3,1,0.865
1271,2750 1271,1,0,5,0,0,2,3,6,6,6,3,1,0.865
1272,2750 1272,1,2,2,5,0,2,2,4,5,3,3,2,0.865
1275,2750 1275,1,6,3,10,0,1,2,3,7,0,2,1,0.865
1276,2750 1276,1,7,5,3,7,2,1,7,0,6,3,2,0.865
1278,2750 1278,1,6,7,98,0,2,99,8,9,98,3,1,0.865
1279,2750 1279,1,8,7,2,3,3,1,9,5,2,4,1,0.865
1280,2750 1280,1,7,6,5,5,2,1,8,7,5,3,1,0.865
1293,2750 1293,1,8,5,10,2,1,1,2,2,2,3,2,0.865
1295,2750 1295,1,0,5,5,10,2,99,99,99,99,3,1,0.865
1296,2750 1296,1,5,5,0,5,2,2,0,10,3,1,1,0.865
1299,2750 1299,1,7,98,10,0,2,2,4,8,0,1,1,0.865
1300,2750 1300,1,2,5,0,0,2,2,6,6,6,3,2,0.865
1301,2750 1301,1,5,3,8,10,2,1,10,9,10,3,1,0.865
1302,2750 1302,1,0,5,10,98,2,1,10,0,98,3,1,0.865
